10/05/2016 0:00:00 AM 10/05/2016 2:00:00 AM 60 2	
1	1.5
2	1.5
3	1.5
4	1.5
5	1.5
6	1.5
7	1.5
8	1.5
9	1.5
10	1.5
11	1.5
12	1.5
13	1.5
14	1.5
15	1.5
16	1.5
17	1.5
18	1.5
19	1.5
20	1.5
21	1.5
22	1.5
23	1.5
24	1.5
25	1.5
26	1.5
27	1.5
28	1.5
29	1.5
30	1.5
31	1.5
32	1.5
33	1.5
34	1.5
35	1.5
36	1.5
37	1.5
38	1.5
39	1.5
40	1.5
41	1.5
42	1.5
43	1.5
44	1.5
45	1.5
46	1.5
47	1.5
48	1.5
49	1.5
50	1.5
51	1.5
52	1.5
53	1.5
54	1.5
55	1.5
56	1.5
57	1.5
58	1.5
59	1.5
60	1.5
61	1.5
62	1.5
63	1.5
64	1.5
65	1.5
66	1.5
67	1.5
68	1.5
69	1.5
70	1.5
71	1.5
72	1.5
73	1.5
74	1.5
75	1.5
76	1.6
77	1.6
78	1.6
79	1.6
80	1.6
81	1.6
82	1.6
83	1.6
84	1.6
85	1.6
86	1.6
87	1.6
88	1.6
89	1.6
90	1.6
91	1.6
92	1.6
93	1.6
94	1.6
95	1.6
96	1.6
97	1.6
98	1.6
99	1.6
100	1.6
101	1.6
102	1.6
103	1.6
104	1.6
105	1.6
106	1.6
107	1.6
108	1.6
109	1.6
110	1.6
111	1.6
112	1.6
113	1.6
114	1.6
115	1.6
116	1.6
117	1.6
118	1.6
119	1.6
120	1.6
121	1.6
122	1.6
123	1.6
124	1.6
125	1.6
126	1.6
127	1.6
128	1.6
129	1.6
130	1.6
131	1.6
132	1.6
133	1.6
134	1.6
135	1.6
136	1.6
137	1.6
138	1.6
139	1.6
140	1.6
141	1.6
142	1.6
143	1.6
144	1.6
145	1.6
146	1.6
147	1.6
148	1.6
149	1.6
150	1.6
151	1.6
152	1.6
153	1.6
154	1.6
155	1.6
156	1.6
157	1.6
158	1.6
159	1.6
160	1.6
161	1.6
162	1.6
163	1.6
164	1.6
165	1.6
166	1.6
167	1.6
168	1.6
169	1.6
170	1.6
171	1.6
172	1.6
173	1.6
174	1.6
175	1.6
176	1.6
177	1.6
178	1.6
179	1.6
180	1.6
181	1.6
182	1.6
183	1.6
184	1.6
185	1.6
186	1.6
187	1.6
188	1.6
189	1.6
190	1.6
191	1.6
192	1.6
193	1.6
194	1.6
195	1.6
196	1.6
197	1.6
198	1.6
199	1.6
200	1.6
201	1.6
202	1.6
203	1.6
204	1.6
205	1.6
206	1.6
207	1.6
208	1.6
209	1.6
210	1.6
211	1.6
212	1.6
213	1.6
214	1.6
215	1.6
216	1.6
217	1.6
218	1.6
219	1.6
220	1.6
221	1.6
222	1.6
223	1.6
224	1.6
225	1.6
226	1.6
227	1.6
228	1.6
229	1.6
230	1.6
231	1.6
232	1.6
233	1.6
234	1.6
235	1.6
236	1.6
237	1.6
238	1.6
239	1.6
240	1.6
241	1.6
242	1.6
243	1.6
244	1.6
245	1.6
246	1.6
247	1.6
248	1.6
249	1.6
250	1.6
251	1.6
252	1.6
253	1.6
254	1.6
255	1.6
256	1.6
257	1.6
258	1.7
259	1.7
260	1.7
261	1.7
262	1.7
263	1.7
264	1.7
265	1.7
266	1.7
267	1.7
268	1.7
269	1.7
270	1.7
271	1.7
272	1.7
273	1.7
274	1.7
275	1.7
276	1.7
277	1.7
278	1.7
279	1.7
280	1.7
281	1.7
282	1.7
283	1.7
284	1.7
285	1.7
286	1.7
287	1.7
288	1.7
289	1.7
290	1.7
291	1.7
292	1.7
293	1.7
294	1.7
295	1.7
296	1.7
297	1.7
298	1.7
299	1.7
300	1.7
301	1.7
302	1.7
303	1.7
304	1.7
305	1.7
306	1.7
307	1.7
308	1.7
309	1.7
310	1.7
311	1.7
312	1.7
313	1.7
314	1.7
315	1.7
316	1.7
317	1.7
318	1.7
319	1.7
320	1.7
321	1.7
322	1.7
323	1.7
324	1.7
325	1.7
326	1.7
327	1.7
328	1.7
329	1.7
330	1.7
331	1.7
332	1.7
333	1.7
334	1.7
335	1.7
336	1.7
337	1.7
338	1.7
339	1.7
340	1.7
341	1.7
342	1.7
343	1.7
344	1.7
345	1.7
346	1.7
347	1.7
348	1.7
349	1.7
350	1.7
351	1.7
352	1.7
353	1.7
354	1.7
355	1.7
356	1.7
357	1.7
358	1.7
359	1.7
360	1.7
361	1.7
362	1.7
363	1.7
364	1.7
365	1.7
366	1.7
