 0             0 
C              0             77821
H             0.0           0.0
H             1.0           268.9
H             2.0           258.5
H             3.0           249.4
H             4.0           244.2
H             5.0           239.0
H             6.0           231.2
H             7.0           224.7
H             8.0           218.2
H             9.0           215.6
H             10.0          213.0
H             11.0          213.0
H             12.0          215.6
H             13.0          220.8
H             14.0          239.0
H             15.0          267.6
H             16.0          301.4
H             17.0          346.0
H             18.0          408.4
H             19.0          482.0
H             20.0          551.2
H             21.0          623.2
H             22.0          694.0
H             23.0          786.0
H             24.0          854.0
H             25.0          943.5
H             26.0          996.0
H             27.0          1059.0
H             28.0          1097.6
H             29.0          1152.6
H             30.0          1190.0
H             31.0          1218.6
H             32.0          1240.6
H             33.0          1262.6
H             34.0          1273.6
H             35.0          1291.2
H             36.0          1312.5
H             37.0          1332.5
H             38.0          1345.0
H             39.0          1360.0
H             40.0          1380.0
H             41.0          1390.0
H             42.0          1400.0
H             43.0          1412.5
H             44.0          1420.0
H             45.0          1430.0
H             46.0          1437.5
H             47.0          1440.0
H             48.0          1450.0
H             49.0          1460.0
H             50.0          1465.0
H             51.0          1465.0
H             52.0          1470.0
H             53.0          1480.0
H             54.0          1487.5
H             55.0          1492.5
H             56.0          1495.0
H             57.0          1500.0
H             58.0          1502.5
H             59.0          1507.5
H             60.0          1510.0
H             61.0          1512.5
H             62.0          1517.5
H             63.0          1520.0
H             64.0          1522.5
H             65.0          1527.5
H             66.0          1532.5
H             67.0          1535.0
H             68.0          1535.0
H             69.0          1540.0
H             70.0          1545.0
H             71.0          1545.0
H             72.0          1545.0
H             73.0          1545.0
H             74.0          1550.0
H             75.0          1550.0
H             76.0          1552.5
H             77.0          1555.0
H             78.0          1555.0
H             79.0          1555.0
H             80.0          1555.0
H             81.0          1555.0
H             82.0          1557.5
H             83.0          1557.5
H             84.0          1557.5
H             85.0          1557.5
H             86.0          1557.5
H             87.0          1557.5
H             88.0          1555.0
H             89.0          1552.5
H             90.0          1540.0
H             91.0          1535.0
H             92.0          1525.0
H             93.0          1522.5
H             94.0          1510.0
H             95.0          1505.0
H             96.0          1495.0
H             97.0          1487.5
H             98.0          1477.5
H             99.0          1465.0
H             100.0         1450.0
H             101.0         1430.0
H             102.0         1415.0
H             103.0         1400.0
H             104.0         1380.0
H             105.0         1362.5
H             106.0         1340.0
H             107.0         1325.0
H             108.0         1305.0
H             109.0         1291.2
H             110.0         1278.0
H             111.0         1269.2
H             112.0         1256.0
H             113.0         1247.2
H             114.0         1242.8
H             115.0         1238.4
H             116.0         1249.4
H             117.0         1253.8
H             118.0         1258.2
H             119.0         1269.2
H             120.0         1278.0
H             121.0         1291.2
H             122.0         1300.0
H             123.0         1302.5
H             124.0         1302.5
H             125.0         1310.0
H             126.0         1325.0
H             127.0         1332.5
H             128.0         1337.5
H             129.0         1340.0
H             130.0         1340.0
H             131.0         1342.5
H             132.0         1342.5
H             133.0         1342.5
H             134.0         1342.5
H             135.0         1340.0
H             136.0         1335.0
H             137.0         1325.0
H             138.0         1317.5
H             139.0         1310.0
H             140.0         1302.5
H             141.0         1293.4
H             142.0         1280.2
H             143.0         1271.4
H             144.0         1260.4
H             145.0         1247.2
H             146.0         1238.4
H             147.0         1220.8
H             148.0         1198.8
H             149.0         1187.8
H             150.0         1174.6
H             151.0         1159.2
H             152.0         1143.8
H             153.0         1124.0
H             154.0         1110.8
H             155.0         1093.2
H             156.0         1080.0
H             157.0         1071.6
H             158.0         1059.0
H             159.0         1050.6
H             160.0         1038.0
H             161.0         1035.9
H             162.0         1032.8
H             163.0         1027.5
H             164.0         1023.3
H             165.0         1017.0
H             166.0         1006.5
H             167.0         996.0
H             168.0         985.5
H             169.0         972.4
H             170.0         962.4
H             171.0         947.7
H             172.0         933.0
H             173.0         918.3
H             174.0         891.0
H             175.0         891.0
H             176.0         874.2
H             177.0         862.0
H             178.0         844.0
H             179.0         834.0
H             180.0         820.0
H             181.0         804.0
H             182.0         790.0
H             183.0         774.0
H             184.0         762.0
H             185.0         750.0
H             186.0         736.0
H             187.0         722.0
H             188.0         710.0
H             189.0         696.0
H             190.0         684.0
H             191.0         670.0
H             192.0         661.0
H             193.0         652.0
H             194.0         639.4
H             195.0         625.0
H             196.0         614.2
H             197.0         599.8
H             198.0         589.0
H             199.0         580.0
H             200.0         571.0
H             201.0         554.8
H             202.0         540.4
H             203.0         533.2
