 0             0 
L              616
D              6            13.79
L              688
D              1            13.79
D              2            13.79
D              5            13.79
L              689
D              7            13.79
L              762
D              1            13.79
D              2            13.79
D              5            13.79
L              763
D              7            13.79
L              835
D              2            13.79
D              5            13.79
L              836
D              6            13.79
L              837
D              2            13.79
D              5            13.79
L              838
D              3            13.79
D              7            13.79
L              909
D              2            13.79
D              5            13.79
L              910
D              1            13.79
D              3            13.79
D              4            13.79
D              7            13.79
D              8            13.79
L              911
D              7            13.79
L              912
D              4            13.79
D              8            13.79
L              913
D              7            13.79
L              985
D              1            13.79
D              2            13.79
D              5            13.79
L              986
D              7            13.79
L              1329
D              1            7.0
D              3            7.0
D              5            7.0
D              6            7.0
L              1425
D              2            7.0
D              3            7.0
D              6            7.0
D              7            7.0
L              1527
D              1            7.0
D              5            7.0
D              8            7.0
L              1633
D              1            7.0
D              5            7.0
D              8            7.0
L              3396
D              3            7.0
D              4            7.0
D              6            7.0
D              7            7.0
L              3489
D              5            7.0
L              3490
D              3            7.0
D              7            7.0
L              3580
D              8            7.0
